SUBASTA;FEC.SUB.;SEGMENTO;PYME;1-NEG;SELLO;TIPO INSTRUMENTO;NALO;SIN RECURSO;PLZ.;T.MIN.;CIERRE;PPV;AG.CPR.;TASA C.;TASA V.;AG.VDR.;MONEDA;MONTO;CANT. INSTRUMENTOS;ESTADO;HORA CONC.;CODIGO RESPONSABLE;CUIT RESPONSABLE;NOMBRE RESPONSABLE;CARACTER;CUIT BENEF.;RAZÓN BENEF.;COND. PYME;V.N. C.;V.N. V.
1467395;28/05/2026;Avalado;;SI;NO;ECHEQ;NO;NO;24Hs.;10:45:25;17:00:00;28;;;20,00;523;$;5.875.607,92;4;Desierta;;RESI;;Resiliencia S.G.R.;AO;;;;;;
1467396;28/05/2026;No Garantizado;SI;SI;NO;ECHEQ;NO;NO;24Hs.;10:46:03;17:00:00;51;;;55,00;767;$;300.000.000,00;60;Desierta;;;30-61610741-7;ABRAHAM Y BERNARDO BRANT SOCIEDAD DE LA SECC IV LGS (ART 21 A 26);AO;30-61610741-7;ABRAHAM Y BERNARDO BRANT SOCIEDAD DE LA SECC IV LGS (ART 21 A 26);Certificado MiPyME;;;
1467397;28/05/2026;Avalado;;SI;NO;ECHEQ;NO;NO;C.I.;10:46:18;17:00:00;122;569;30,00;30,00;767;$;35.000.000,00;2;Negociada;11:53:50;ACEN;;Avales del Centro S.G.R.;AO;;;;;;
1467398;28/05/2026;No Garantizado;NO;SI;NO;PAGARE;NO;NO;24Hs.;10:46:34;17:00:00;143;;;8,00;767;DOL;10.000,00;1;Desierta;;;30-70792344-6;AGRO DE SOUZA S.A;;30-70792344-6;AGRO DE SOUZA S.A;;;;
1467399;28/05/2026;Garantizado;SI;SI;NO;ECHEQ;NO;NO;24Hs.;10:46:53;17:00:00;33;523;20,00;20,00;598;$;29.269.369,85;9;Negociada;10:59:09;;;;AO;;;Certificado MiPyME;;;
1467400;28/05/2026;No Garantizado;SI;SI;NO;ECHEQ;NO;NO;C.I.;10:46:55;17:00:00;35;430;32,00;32,00;430;$;75.000.000,00;7;Negociada;10:48:57;;30-71162904-8;ARGENTRADING S.A.;AO;30-70933530-4;EL LUCERO DE LOURDES SA;Certificado MiPyME;;;
1467401;28/05/2026;Avalado;;SI;NO;PAGARE;NO;NO;24Hs.;10:46:57;17:00:00;158;;;7,00;523;DOL;50.000,00;1;Desierta;;NOVA;;INNOVA S.G.R.;CB;30-71817888-2;MONTEVERDE S. A. S.;;;;
1467402;28/05/2026;No Garantizado;SI;SI;NO;ECHEQ;NO;NO;24Hs.;10:47:01;17:00:00;44;;;35,00;449;$;74.301.300,00;3;Desierta;;;30-71629953-4;INGENIERIA Y OBRAS DEL SUR;AO;30-69309205-8;ARMADURAS DEL SUR SA;Certificado MiPyME;;;
1467403;28/05/2026;Garantizado Calificado;SI;SI;NO;ECHEQ;NO;NO;24Hs.;10:47:06;17:00:00;34;432;21,00;21,00;598;$;11.000.000,00;2;Negociada;10:58:59;;;;AO;;;Certificado MiPyME;;;
1467404;28/05/2026;Avalado;;SI;NO;PAGARE;NO;NO;24Hs.;10:47:09;17:00:00;186;;;7,00;523;DOL;50.000,00;1;Desierta;;NOVA;;INNOVA S.G.R.;CB;30-71817888-2;MONTEVERDE S. A. S.;;;;
1467405;28/05/2026;Avalado;;SI;NO;ECHEQ;NO;NO;24Hs.;10:47:10;17:00:00;180;433;30,00;30,00;449;$;9.478.811,35;1;Negociada;14:09:17;NEUQ;;Neuquen Pymes S.G.R.;AO;;;;;;
1467406;28/05/2026;Avalado;;SI;NO;ECHEQ;NO;NO;24Hs.;10:47:17;17:00:00;271;;;30,00;449;$;9.478.811,35;1;Desierta;;NEUQ;;Neuquen Pymes S.G.R.;AO;;;;;;
1467407;28/05/2026;No Garantizado Calificado;NO;SI;NO;ECHEQ;NO;NO;24Hs.;10:47:19;17:00:00;28;;;48,00;767;$;25.000.000,00;5;Desierta;;;33-69399891-9;LUMMA S.A.;AO;33-69399891-9;LUMMA S.A.;;;;
1467408;28/05/2026;Avalado;;SI;NO;ECHEQ;NO;NO;24Hs.;10:47:20;17:00:00;25;406;20,00;20,00;545;$;30.000.000,00;1;Negociada;11:07:02;POTE;;Potenciar S.G.R.;AO;;;;;;
1467409;28/05/2026;Avalado;;SI;NO;PAGARE;NO;NO;24Hs.;10:47:21;17:00:00;186;526;7,00;7,00;523;DOL;50.000,00;1;Negociada;16:41:48;NOVA;;INNOVA S.G.R.;CB;30-71817888-2;MONTEVERDE S. A. S.;;;;
1467410;28/05/2026;Avalado;;SI;NO;ECHEQ;NO;NO;24Hs.;10:47:25;17:00:00;238;;;30,00;449;$;9.478.811,35;1;Desierta;;NEUQ;;Neuquen Pymes S.G.R.;AO;;;;;;
