SUBASTA;FEC.SUB.;SEGMENTO;PYME;1-NEG;SELLO;TIPO INSTRUMENTO;NALO;SIN RECURSO;PLZ.;T.MIN.;CIERRE;PPV;AG.CPR.;TASA C.;TASA V.;AG.VDR.;MONEDA;MONTO;CANT. INSTRUMENTOS;ESTADO;HORA CONC.;CODIGO RESPONSABLE;CUIT RESPONSABLE;NOMBRE RESPONSABLE;CARACTER;CUIT BENEF.;RAZÓN BENEF.;COND. PYME;V.N. C.;V.N. V.
1473809;05/06/2026;Avalado;;SI;NO;ECHEQ;NO;NO;C.I.;10:45:09;17:00:00;259;523;26,80;27,00;649;$;100.000.000,00;2;Negociada;10:49:58;GARA;;Garantizar S.G.R.;AO;;;;;;
1473810;05/06/2026;Avalado;;SI;NO;ECHEQ;NO;NO;C.I.;10:45:27;17:00:00;97;406;22,50;22,50;406;$;261.000.000,00;18;Negociada;10:47:57;ARPY;;Argenpymes S.G.R.;AO;;;;;;
1473811;05/06/2026;Avalado;;SI;NO;ECHEQ;SI;NO;24Hs.;10:45:49;17:00:00;116;501;18,00;18,00;545;$;10.000.000,00;1;Negociada;10:58:45;FGLR;;Fdo.de Gtia.Pub. La Rioja;NO;;;;;;
1473812;05/06/2026;Avalado;;SI;NO;ECHEQ;NO;NO;24Hs.;10:45:51;17:00:00;135;502;24,00;24,00;868;$;2.500.000,00;1;Negociada;13:12:52;POTE;;Potenciar S.G.R.;AO;;;;;;
1473813;05/06/2026;Avalado;;SI;NO;ECHEQ;NO;NO;24Hs.;10:46:02;17:00:00;146;503;25,00;25,00;868;$;12.000.000,00;5;Negociada;12:41:12;POTE;;Potenciar S.G.R.;AO;;;;;;
1473814;05/06/2026;No Garantizado Calificado;SI;SI;NO;FCE;NO;NO;C.I.;10:46:03;17:00:00;28;406;17,00;17,00;598;$;410.371.657,27;1;Negociada;10:48:04;%YFP;30-54668997-9;YPF SOCIEDAD ANONIMA;;;;;;;
1473815;05/06/2026;No Garantizado;NO;SI;NO;PAGARE;NO;NO;24Hs.;10:46:18;17:00:00;133;;;8,00;767;DOL;10.000,00;1;Desierta;;;30-70792344-6;AGRO DE SOUZA S.A;;30-70792344-6;AGRO DE SOUZA S.A;;;;
1473816;05/06/2026;No Garantizado;SI;SI;NO;FCE;NO;NO;24Hs.;10:46:24;17:00:00;72;;;;433;$;17.933.884,30;1;Desierta;;%FEI;30-71357520-4;FIDEICOMISO DE ADMINISTRACION E INMOBILIARIO EL SALVAJE;;;;;;;
1473817;05/06/2026;No Garantizado Calificado;NO;SI;NO;ECHEQ;NO;NO;24Hs.;10:46:36;17:00:00;18;;;48,00;767;$;25.000.000,00;5;Desierta;;;33-69399891-9;LUMMA S.A.;AO;33-69399891-9;LUMMA S.A.;;;;
1473818;05/06/2026;No Garantizado;SI;SI;NO;FCE;NO;NO;24Hs.;10:46:38;17:00:00;50;;;;433;$;36.239.000,00;2;Desierta;;%FEI;30-71357520-4;FIDEICOMISO DE ADMINISTRACION E INMOBILIARIO EL SALVAJE;;;;;;;
