SUBASTA;FEC.SUB.;SEGMENTO;PYME;1-NEG;SELLO;TIPO INSTRUMENTO;NALO;SIN RECURSO;PLZ.;T.MIN.;CIERRE;PPV;AG.CPR.;TASA C.;TASA V.;AG.VDR.;MONEDA;MONTO;CANT. INSTRUMENTOS;ESTADO;HORA CONC.;CODIGO RESPONSABLE;CUIT RESPONSABLE;NOMBRE RESPONSABLE;CARACTER;CUIT BENEF.;RAZÓN BENEF.;COND. PYME;V.N. C.;V.N. V.
1496471;07/07/2026;Avalado;;SI;NO;ECHEQ;NO;NO;C.I.;10:45:14;17:00:00;113;406;24,00;24,00;406;$;18.000.000,00;1;Negociada;11:37:42;ARPY;;Argenpymes S.G.R.;AO;;;;;
1496472;07/07/2026;Avalado;;SI;NO;ECHEQ;NO;NO;24Hs.;10:45:24;17:00:00;33;501;18,00;18,00;525;$;600.000,00;1;Negociada;10:47:26;FGLR;;Fdo.de Gtia.Pub. La Rioja;AO;;;;;
1496473;07/07/2026;No Garantizado;NO;SI;NO;PAGARE;NO;NO;C.I.;10:45:34;17:00:00;56;25;8,00;8,00;42;U$D;175.000,00;1;Negociada;12:04:06;;30-71490821-5;LIFE DESARROLLOS S. R. L.;;30-71490821-5;LIFE DESARROLLOS S. R. L.;;;
1496474;07/07/2026;Avalado;;SI;NO;ECHEQ;NO;NO;24Hs.;10:45:35;17:00:00;63;501;21,50;21,50;525;$;1.200.000,00;2;Negociada;10:47:36;FGLR;;Fdo.de Gtia.Pub. La Rioja;AO;;;;;
1496475;07/07/2026;Garantizado Calificado;SI;SI;NO;ECHEQ;NO;NO;24Hs.;10:45:39;17:00:00;43;;;16,00;43;$;26.158.511,65;6;Desierta;;;;;AO;;;Certificado MiPyME;;
1496476;07/07/2026;Avalado;;SI;NO;ECHEQ;NO;NO;C.I.;10:45:42;17:00:00;105;;;18,00;406;$;44.000.000,00;4;Desierta;;ARPY;;Argenpymes S.G.R.;AO;;;;;
1496477;07/07/2026;No Garantizado;NO;SI;NO;PAGARE;NO;NO;24Hs.;10:45:43;17:00:00;34;42;22,50;22,50;42;$;34.500.000,00;1;Negociada;11:10:27;;30-71246553-7;MAURO S.A;;30-71246553-7;MAURO S.A;;;
1496478;07/07/2026;Avalado;;NO;NO;ECHEQ;NO;NO;24Hs.;10:45:45;17:00:00;205;;;20,00;15;$;228.193.547,00;15;Desierta;;FIDU;;Fid Aval S.G.R.;AO;;;;;
1496479;07/07/2026;No Garantizado;SI;SI;NO;ECHEQ;NO;NO;C.I.;10:45:49;17:00:00;88;718;29,00;29,00;718;$;400.000.000,00;4;Negociada;11:00:14;;30-71037548-4;PRODUCTORA DEL NOROESTE S.A.;AO;30-71037548-4;PRODUCTORA DEL NOROESTE S.A.;Certificado MiPyME;;
1496480;07/07/2026;No Garantizado;SI;SI;NO;ECHEQ;NO;NO;C.I.;10:45:49;17:00:00;37;406;25,00;25,00;406;$;13.325.722,13;1;Negociada;10:48:38;;30-59036076-3;CENCOSUD S A;AO;;;Certificado MiPyME;;
