SUBASTA;FEC.SUB.;SEGMENTO;PYME;1-NEG;SELLO;TIPO INSTRUMENTO;NALO;SIN RECURSO;PLZ.;T.MIN.;CIERRE;PPV;AG.CPR.;TASA C.;TASA V.;AG.VDR.;MONEDA;MONTO;CANT. INSTRUMENTOS;ESTADO;HORA CONC.;CODIGO RESPONSABLE;CUIT RESPONSABLE;NOMBRE RESPONSABLE;CARACTER;CUIT BENEF.;RAZÓN BENEF.;COND. PYME;V.N. C.;V.N. V.
1556581;21/09/2026;Avalado;;SI;NO;PAGARE;NO;NO;24Hs.;10:45:13;17:00:00;303;;;7,00;442;U$D;50.000,00;1;Desierta;;AFFI;;Affidavit S.G.R.;;;;;;
1556582;21/09/2026;Avalado;;SI;NO;ECHEQ;NO;NO;24Hs.;10:45:18;17:00:00;88;406;26,00;26,00;406;$;300.000.000,00;10;Negociada;10:47:21;ARPY;;Argenpymes S.G.R.;AO;;;;;
1556583;21/09/2026;Avalado;;SI;NO;PAGARE;NO;NO;24Hs.;10:45:20;17:00:00;303;;;7,00;442;U$D;50.000,00;1;Desierta;;AFFI;;Affidavit S.G.R.;;;;;;
1556584;21/09/2026;Avalado;;SI;NO;PAGARE;NO;NO;24Hs.;10:45:27;17:00:00;258;;;8,00;442;U$D;150.000,00;2;Desierta;;AFFI;;Affidavit S.G.R.;;;;;;
1556585;21/09/2026;Avalado;;SI;NO;ECHEQ;NO;NO;24Hs.;10:45:30;17:00:00;188;545;30,00;30,00;545;$;500.000,00;1;Negociada;13:37:20;ARPY;;Argenpymes S.G.R.;AO;;;;;
1556586;21/09/2026;No Garantizado;NO;SI;NO;CPD;NO;NO;24Hs.;10:45:36;17:00:00;237;456;26,00;26,00;456;$;6.000.000,00;3;Negociada;10:47:37;;20-22446548-4;FRITZ GUSTAVO ADRIAN;;30-67391721-2;AGROINDUSTRIA G C P  S.A.;;;
1556587;21/09/2026;Avalado;;SI;NO;PAGARE;NO;NO;24Hs.;10:45:40;17:00:00;41;442;26,00;26,00;442;$;2.250.000,00;1;Negociada;12:05:00;AVAL;;Avaluar S.G.R.;;;;;;
1556588;21/09/2026;Avalado;;SI;NO;PAGARE;NO;NO;24Hs.;10:45:47;17:00:00;44;442;26,00;26,00;442;$;2.250.000,00;1;Negociada;12:05:15;AVAL;;Avaluar S.G.R.;;;;;;
1556589;21/09/2026;Avalado;;SI;NO;ECHEQ;NO;NO;24Hs.;10:45:47;17:00:00;91;433;28,00;28,00;545;$;10.000.000,00;1;Negociada;12:09:42;INPY;;Integra Pymes S.G.R.;AO;;;;;
1556590;21/09/2026;No Garantizado;NO;SI;NO;PAGARE;NO;NO;C.I.;10:45:56;17:00:00;38;847;38,00;38,00;847;$;29.069.997,02;1;Negociada;10:47:57;;30-68271370-0;MUTUAL A M F A Y S ASOCIACION MUTUAL;;30-68271370-0;MUTUAL A M F A Y S ASOCIACION MUTUAL;;;
1556591;21/09/2026;No Garantizado;NO;SI;NO;CPD;NO;NO;24Hs.;10:46:32;17:00:00;215;456;26,00;26,00;456;$;21.000.000,00;5;Negociada;10:48:33;;20-27723791-2;ARGUELLO DAVID GUSTAVO;;30-67391721-2;AGROINDUSTRIA G C P  S.A.;;;
1556592;21/09/2026;Avalado;;SI;NO;ECHEQ;NO;NO;C.I.;10:46:48;17:00:00;9;545;23,00;23,00;545;$;7.967.905,00;4;Negociada;13:10:35;ARPY;;Argenpymes S.G.R.;AO;;;;;
