SUBASTA;FEC.SUB.;SEGMENTO;PYME;1-NEG;SELLO;TIPO INSTRUMENTO;NALO;SIN RECURSO;PLZ.;T.MIN.;CIERRE;PPV;AG.CPR.;TASA C.;TASA V.;AG.VDR.;MONEDA;MONTO;CANT. INSTRUMENTOS;ESTADO;HORA CONC.;CODIGO RESPONSABLE;CUIT RESPONSABLE;NOMBRE RESPONSABLE;CARACTER;CUIT BENEF.;RAZÓN BENEF.;COND. PYME;V.N. C.;V.N. V.
1491174;30/06/2026;No Garantizado;NO;NO;NO;PAGARE;NO;NO;C.I.;10:45:47;17:00:00;242;;;;767;DOL;375.000,00;3;Desierta (Baja);;;30-66453417-3;SAN JOAQUIN S A;;;;;;
1491175;30/06/2026;No Garantizado;NO;SI;NO;PAGARE;NO;NO;C.I.;10:46:09;17:00:00;30;529;25,00;25,00;529;$;1.000.000.000,00;1;Negociada;10:54:18;;30-70308853-4;MERCADOLIBRE S.R.L.;;30-70308853-4;MERCADOLIBRE S.R.L.;;;
1491176;30/06/2026;Avalado;;SI;NO;ECHEQ;NO;NO;24Hs.;10:46:09;17:00:00;52;406;24,00;24,00;406;$;26.168.700,96;3;Negociada;11:01:17;TRND;;Trend S.G.R.;AO;;;;;
1491177;30/06/2026;No Garantizado;NO;NO;NO;ECHEQ;NO;NO;C.I.;10:46:11;17:00:00;23;406;32,00;32,00;767;$;500.000.000,00;1;Negociada;12:45:02;;30-71497263-0;CEIBO CREDITOS S. A. U.;AO;30-71497263-0;CEIBO CREDITOS S. A. U.;;;
1491178;30/06/2026;No Garantizado;NO;NO;NO;ECHEQ;NO;NO;C.I.;10:46:34;17:00:00;32;;;;767;$;1.000.000.000,00;2;Desierta (Baja);;;30-70938650-2;EXTRABERRIES S.A.;AO;30-70938650-2;EXTRABERRIES S.A.;;;
1491179;30/06/2026;Avalado;;SI;NO;ECHEQ;SI;NO;24Hs.;10:46:43;17:00:00;125;545;25,00;25,00;545;$;20.000.000,00;1;Negociada;16:24:22;CAMP;;Campo Aval S.G.R.;NO;;;;;
1491180;30/06/2026;Avalado;;SI;NO;ECHEQ;SI;NO;C.I.;10:46:47;17:00:00;56;832;20,50;20,50;598;$;158.307.755,60;2;Negociada;10:53:13;GARA;;Garantizar S.G.R.;NO;;;;;
1491181;30/06/2026;Avalado;;SI;NO;ECHEQ;NO;NO;24Hs.;10:47:05;17:00:00;85;442;25,00;25,00;545;$;3.000.000,00;1;Negociada;13:28:12;MOVI;;MOVIL S.G.R.;AO;;;;;
1491182;30/06/2026;Avalado;;SI;NO;ECHEQ;SI;NO;C.I.;10:47:07;17:00:00;48;406;20,50;20,50;598;$;203.923.906,70;2;Negociada;10:57:06;GARA;;Garantizar S.G.R.;NO;;;;;
1491183;30/06/2026;Avalado;;SI;NO;ECHEQ;NO;NO;24Hs.;10:47:20;17:00:00;28;727;24,00;24,00;545;$;110.000.000,00;4;Negociada;13:23:45;FINT;;Fintech S.G.R.;AO;;;;;
